# BEGIN DATA
Process=pp -> e~vj + ev~j
Proc=evj
Sqrt=13 TeV
Timestamp=2017-02-09 19:24:42
# END DATA

# BEGIN HISTO1D evj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 8.226006e+01 6.724734e-02 6.724734e-02
4.000000e+01 5.000000e+01 4.722542e+01 2.398002e-02 2.398002e-02
5.000000e+01 6.000000e+01 2.883757e+01 1.149843e-02 1.149843e-02
6.000000e+01 7.000000e+01 1.832932e+01 6.371190e-03 6.371190e-03
7.000000e+01 8.000000e+01 1.201350e+01 3.798771e-03 3.798771e-03
8.000000e+01 9.000000e+01 8.072086e+00 2.384431e-03 2.384431e-03
9.000000e+01 1.000000e+02 5.550420e+00 1.557108e-03 1.557108e-03
1.000000e+02 1.100000e+02 3.892267e+00 1.049545e-03 1.049545e-03
1.100000e+02 1.200000e+02 2.779020e+00 7.264972e-04 7.264972e-04
1.200000e+02 1.300000e+02 2.015588e+00 5.141429e-04 5.141429e-04
1.300000e+02 1.400000e+02 1.486787e+00 3.717035e-04 3.717035e-04
1.400000e+02 1.500000e+02 1.110638e+00 2.733814e-04 2.733814e-04
1.500000e+02 2.000000e+02 5.360177e-01 6.066392e-05 6.066392e-05
2.000000e+02 2.500000e+02 1.671477e-01 1.809428e-05 1.809428e-05
2.500000e+02 3.000000e+02 6.272509e-02 6.702402e-06 6.702402e-06
3.000000e+02 3.500000e+02 2.684001e-02 2.878554e-06 2.878554e-06
3.500000e+02 4.000000e+02 1.265961e-02 1.376744e-06 1.376744e-06
4.000000e+02 4.500000e+02 6.440233e-03 7.143184e-07 7.143184e-07
4.500000e+02 5.000000e+02 3.476196e-03 3.946590e-07 3.946590e-07
5.000000e+02 5.500000e+02 1.968257e-03 2.296452e-07 2.296452e-07
5.500000e+02 6.000000e+02 1.159032e-03 1.393410e-07 1.393410e-07
6.000000e+02 6.500000e+02 7.057876e-04 8.753490e-08 8.753490e-08
